Gene	Symbol	NormalTranscript	TumorTranscript iLoops	Domain	Disorder	Anchor	PTM
60468	BACH2	uc003pnw.2	uc011eab.1	False	False	False	False	False
10767	HBS1L	uc003qez.2	uc011eda.1	False	False	True	False	False
131601	TPRA1	uc003ejn.2	uc010hsk.2	False	False	True	False	False
11282	MGAT4B	uc003mks.2	uc003mkr.2	False	False	True	True	False
11284	PNKP	uc002pqh.2	uc002pqj.2	False	False	False	False	False
3749	KCNC4	uc001dzh.2	uc001dzf.2	True	False	True	True	False
3749	KCNC4	uc001dzh.2	uc001dzg.2	False	False	True	True	False
3745	KCNB1	uc002xur.1	uc002xus.1	False	False	False	False	False
4628	MYH10	uc002gll.2	uc002glm.2	False	False	True	False	False
57661	PHRF1	uc001lqe.2	uc010qwc.1	False	False	True	False	False
51107	APH1A	uc001etz.1	uc001ety.1	False	False	True	False	False
51107	APH1A	uc001etz.1	uc010pbx.1	False	True	True	False	False
51107	APH1A	uc001ety.1	uc001etz.1	False	False	True	False	False
51100	SH3GLB1	uc001dlw.2	uc001dlx.2	False	False	False	False	False
51100	SH3GLB1	uc001dlw.2	uc001dlz.2	False	False	False	False	False
63905	MANBAL	uc002xgu.2	uc002xgv.2	False	False	False	False	False
63905	MANBAL	uc002xgv.2	uc002xgu.2	False	False	False	False	False
25891	PAMR1	uc001mwf.2	uc001mwg.2	False	False	False	False	False
25891	PAMR1	uc001mwg.2	uc001mwf.2	False	False	False	False	False
25897	RNF19A	uc003yjk.1	uc003yjj.1	False	False	False	False	False
25896	INTS7	uc001hiw.1	uc010pta.1	False	False	False	False	False
25894	PLEKHG4	uc002ess.3	uc010ceg.2	False	False	False	True	False
25894	PLEKHG4	uc002ess.3	uc010cef.2	False	False	False	False	False
22877	MLXIP	uc001ubq.2	uc001ubt.2	False	False	True	True	False
4292	MLH1	uc003cgl.2	uc011ayb.1	True	True	True	True	False
23383	KIAA0892	uc002nmk.3	uc010ecd.2	False	False	False	False	True
23384	CYTSA	uc002zzw.2	uc011ajq.1	False	True	False	True	False
23384	CYTSA	uc002zzv.3	uc011ajq.1	False	True	False	True	False
23384	CYTSA	uc002zzw.2	uc002zzv.3	False	False	False	False	False
81565	NDEL1	uc002gli.2	uc002glj.2	False	False	True	True	False
344148	NCKAP5	uc002ttp.2	uc002ttq.2	False	False	True	True	False
23309	SIN3B	uc002nez.1	uc002new.2	False	True	True	True	True
254013	C12orf72	uc001rkm.2	uc009zjr.2	False	False	False	False	False
81853	TMEM14B	uc003mzk.3	uc010jor.2	False	False	False	False	False
63027	SLC22A23	uc003mvm.3	uc010jno.2	False	False	True	False	False
9529	BAG5	uc001ynj.1	uc001yni.1	False	False	False	False	False
9529	BAG5	uc001yni.1	uc001ynj.1	False	False	False	False	False
9255	AIMP1	uc003hyh.2	uc003hyg.2	False	False	False	False	False
9255	AIMP1	uc003hyh.2	uc011cfg.1	False	False	False	False	False
57472	CNOT6	uc003mlx.2	uc010jld.2	False	False	False	False	False
9501	RPH3AL	uc002frd.1	uc010cjl.1	True	False	False	False	True
9501	RPH3AL	uc002frd.1	uc002frf.1	True	False	False	False	True
57415	C3orf14	uc003dlf.2	uc003dlg.2	False	False	False	False	False
57415	C3orf14	uc003dlg.2	uc003dlf.2	False	False	False	False	False
91408	BTF3L4	uc001ctk.2	uc001ctm.2	False	False	False	False	False
25953	PNKD	uc002vhm.1	uc002vhq.2	True	True	True	True	False
84108	PCGF6	uc001kwt.2	uc001kwu.2	True	False	True	False	False
148418	SAMD13	uc010orx.1	uc001djr.2	False	False	True	True	False
55061	SUSD4	uc001hny.3	uc001hnz.2	True	True	True	True	True
65983	GRAMD3	uc003ktu.2	uc011cww.1	False	False	True	True	False
55101	ATP5SL	uc002oqw.1	uc002oqz.1	False	False	True	False	False
55106	SLFN12	uc002hji.3	uc010cts.2	False	False	False	False	False
55108	BSDC1	uc001bvh.3	uc010ohi.1	False	False	True	True	False
6204	RPS10	uc003ojn.2	uc003ojm.2	False	False	False	False	False
55317	C20orf29	uc002wju.1	uc002wjs.1	False	False	False	False	False
55643	BTBD2	uc002lup.1	uc002luo.1	True	True	True	True	True
5866	RAB3IL1	uc001nso.2	uc001nsp.2	False	False	True	True	False
5862	RAB2A	uc003xud.1	uc011lef.1	True	False	False	False	True
2182	ACSL4	uc004eok.2	uc004eoj.2	False	False	False	False	False
2180	ACSL1	uc003iwu.1	uc003iwt.1	False	False	False	False	False
56975	FAM20C	uc003sip.2	uc011jvn.1	False	False	True	True	True
388677	NOTCH2NL	uc001emn.3	uc001emm.3	False	False	False	False	False
29102	RNASEN	uc003jhg.2	uc003jhh.2	False	False	True	True	False
7185	TRAF1	uc004bku.1	uc011lyg.1	True	False	True	True	False
7185	TRAF1	uc004bku.1	uc010mvl.1	False	False	False	False	False
79848	CSPP1	uc003xxj.2	uc003xxi.2	False	False	True	True	True
8545	CGGBP1	uc003dqs.2	uc003dqt.2	False	False	False	False	False
8543	LMO4	uc001dmi.2	uc001dmj.2	False	False	False	False	False
375056	MIA3	uc001hnl.2	uc001hnm.2	True	True	True	True	False
51109	RDH11	uc001xjv.3	uc001xjx.3	True	False	False	False	False
51109	RDH11	uc001xjv.3	uc001xjw.3	True	False	False	False	False
153129	SLC38A9	uc003jqf.2	uc003jqd.2	False	False	True	True	False
153129	SLC38A9	uc003jqf.2	uc010ivx.2	False	False	True	True	False
153129	SLC38A9	uc003jqd.2	uc003jqf.2	False	False	True	True	False
113146	AHNAK2	uc001ypx.2	uc010axc.1	False	False	True	True	False
80108	ZFP2	uc003mjn.1	uc010jkx.1	False	False	False	False	False
80108	ZFP2	uc003mjn.1	uc010jky.2	False	False	False	False	False
55016	MARCH1	uc003iqr.1	uc003iqs.1	False	False	True	True	False
256356	GK5	uc003euq.1	uc003eup.1	True	True	True	False	False
10395	DLC1	uc003wwk.1	uc011kxy.1	True	True	True	True	True
10398	MYL9	uc002xfl.1	uc002xfm.1	True	True	True	True	True
123036	TC2N	uc001xzu.3	uc001xzv.3	False	False	False	False	False
123036	TC2N	uc001xzu.3	uc010auc.2	False	False	False	False	False
123036	TC2N	uc001xzt.3	uc010auc.2	False	False	False	False	False
7458	EIF4H	uc003uae.1	uc003uad.1	False	False	True	False	False
4848	CNOT2	uc009zro.2	uc001svv.2	False	False	False	False	False
4848	CNOT2	uc009zro.2	uc009zrq.2	False	False	False	False	False
2744	GLS	uc002use.2	uc002usf.2	True	True	True	True	False
65083	NOL6	uc003zsz.2	uc010mjv.2	False	False	False	False	False
3845	KRAS	uc001rgq.1	uc001rgp.1	False	False	True	True	True
80167	C4orf29	uc003ifr.2	uc010inz.2	False	False	False	False	False
6187	RPS2	uc002cno.2	uc002cnn.2	False	False	False	False	False
6183	MRPS12	uc002okc.2	uc002okd.2	False	False	False	False	False
6181	RPLP2	uc001lrq.1	uc001lrr.1	False	False	False	False	False
6181	RPLP2	uc001lrr.1	uc001lrq.1	False	False	False	False	False
100131187	TSTD1	uc010pjx.1	uc009wtw.2	True	False	False	False	False
100131187	TSTD1	uc010pjx.1	uc001fxh.3	True	False	True	False	False
9778	KIAA0232	uc003gjq.3	uc003gjr.3	False	False	False	False	False
152273	FGD5	uc003bzc.2	uc003bzd.2	True	False	True	True	True
9775	EIF4A3	uc010wuc.1	uc002jxs.2	False	False	False	False	False
9774	BCLAF1	uc003qgx.1	uc011ede.1	False	False	True	True	False
9776	KIAA0652	uc001ncz.2	uc010rgv.1	False	False	True	True	False
285362	SUMF1	uc003bpz.1	uc011ass.1	True	False	False	False	False
8863	PER3	uc001aop.2	uc001aoo.2	False	False	True	True	False
8863	PER3	uc001aoo.2	uc001aop.2	False	False	True	True	False
8861	LDB1	uc009xwz.2	uc001kuk.3	False	False	True	False	False
8861	LDB1	uc001kul.3	uc001kuk.3	False	False	True	True	False
8869	ST3GAL5	uc002sqp.1	uc002sqq.1	False	False	True	False	False
6188	RPS3	uc001owh.2	uc001owi.2	False	False	False	False	False
199777	ZNF626	uc002npb.1	uc002npc.1	False	True	False	False	True
199777	ZNF626	uc002npd.1	uc002npc.1	True	True	True	True	True
199777	ZNF626	uc002npd.1	uc002npb.1	True	True	True	True	True
9197	SLC33A1	uc003fao.1	uc003fan.3	False	False	False	False	False
5564	PRKAB1	uc001txg.2	uc009zwu.2	False	False	False	False	False
10560	SLC19A2	uc001gge.3	uc001ggf.3	False	False	True	False	False
122953	JDP2	uc001xrq.2	uc010tvc.1	False	False	True	True	False
122953	JDP2	uc001xrq.2	uc010tvb.1	False	False	True	True	False
6235	RPS29	uc001wwm.2	uc001wwl.2	False	False	False	False	False
6233	RPS27A	uc002ryk.2	uc010yow.1	False	False	False	False	False
2539	G6PD	uc004flx.1	uc004fly.1	False	False	True	False	False
2532	DARC	uc001fto.2	uc001ftp.3	False	False	True	False	False
2530	FUT8	uc001xip.2	uc010tsp.1	False	False	False	True	False
2530	FUT8	uc001xip.2	uc001xio.2	False	False	False	False	False
2530	FUT8	uc001xip.2	uc001xis.2	True	False	False	True	False
2534	FYN	uc003pvj.2	uc003pvh.2	True	False	False	True	False
2534	FYN	uc003pvj.2	uc003pvi.2	True	False	False	True	False
22837	COBLL1	uc002ucq.2	uc002ucp.2	False	False	True	True	False
9564	BCAR1	uc010vnd.1	uc002fdx.2	False	False	True	False	False
9564	BCAR1	uc010vnd.1	uc002fdv.2	False	False	True	False	False
51496	CTDSPL2	uc001ztr.2	uc010bdv.2	False	False	True	True	False
51321	AMZ2	uc002jgv.1	uc002jgw.1	False	False	False	True	False
51321	AMZ2	uc002jgv.1	uc002jgs.1	False	False	False	False	False
64794	DDX31	uc004cbq.1	uc004cbs.1	True	True	True	True	True
64794	DDX31	uc004cbq.1	uc010mzu.1	True	False	False	False	False
64793	CCDC21	uc001blr.2	uc001blt.1	False	False	True	True	False
56647	BCCIP	uc001ljb.3	uc001ljd.3	False	False	True	True	False
56647	BCCIP	uc001ljd.3	uc001ljb.3	False	False	True	True	False
79991	OBFC1	uc001kxm.2	uc001kxl.2	False	False	False	False	False
29101	SSU72	uc001agd.2	uc001age.1	False	False	True	True	False
29101	SSU72	uc001age.1	uc001agd.2	False	False	True	True	False
8353	HIST1H3E	uc003nhb.2	uc003nhc.3	False	False	False	False	False
27000	DNAJC2	uc003vbo.2	uc010lix.2	False	False	True	True	False
152503	SH3D19	uc010ipm.2	uc003imc.2	False	False	True	True	False
55787	TXLNG	uc004cxq.1	uc010ney.1	False	False	True	True	False
55787	TXLNG	uc010ney.1	uc004cxq.1	False	False	True	True	False
55780	C6orf70	uc003qxg.1	uc011ehb.1	False	False	False	False	False
55780	C6orf70	uc003qxg.1	uc003qxh.1	False	False	False	False	False
55781	RIOK2	uc003kmz.2	uc003kna.3	False	False	True	True	False
55783	FTSJD1	uc010cga.2	uc002ezz.3	False	False	False	False	False
10978	CLP1	uc001nkw.2	uc010rjw.1	False	False	False	False	False
10978	CLP1	uc001nkw.2	uc009yml.2	False	False	False	False	False
11130	ZWINT	uc001jjx.1	uc001jjy.1	False	False	True	True	False
79726	WDR59	uc002fdh.1	uc002fdf.1	True	True	True	True	True
284361	C19orf63	uc002psl.2	uc002psk.2	False	False	True	True	True
8736	MYOM1	uc002klq.2	uc002klp.2	True	False	True	True	False
8737	RIPK1	uc003mux.2	uc011dhs.1	True	True	False	False	False
8732	RNGTT	uc003pmr.2	uc003pms.2	False	False	False	False	False
4192	MDK	uc001ncp.2	uc009yla.2	False	True	False	False	False
4192	MDK	uc009yla.2	uc001ncp.2	False	True	False	False	False
197259	MLKL	uc002fdb.2	uc002fdc.2	True	True	True	True	True
26520	TIMM9	uc001xds.2	uc010api.2	False	False	False	False	False
26520	TIMM9	uc001xds.2	uc010aph.2	False	False	False	False	False
11160	ERLIN2	uc003xke.3	uc003xkd.2	False	False	True	False	False
11160	ERLIN2	uc003xke.3	uc003xkc.3	False	False	True	False	False
11160	ERLIN2	uc003xke.3	uc003xkg.2	False	False	True	False	False
26298	EHF	uc001mvr.1	uc009yke.1	False	False	False	True	False
4763	NF1	uc002hgg.2	uc002hgf.1	True	True	True	True	False
81545	FBXO38	uc003lpf.1	uc003lph.2	False	False	True	True	False
81545	FBXO38	uc003lpg.1	uc003lph.2	False	False	True	True	False
11244	ZHX1	uc003yqe.2	uc003yqf.2	False	False	False	False	False
728932	GPR89C	uc001eou.3	uc009wjm.2	False	False	True	False	False
4061	LY6E	uc003yxn.2	uc003yxm.2	False	False	False	False	False
23500	DAAM2	uc003oow.2	uc003oox.2	True	False	False	False	False
26993	AKAP8L	uc002naw.1	uc010xoh.1	False	False	True	True	False
7148	TNXB	uc003nzl.2	uc003nzg.1	True	True	True	True	True
26996	GPR160	uc003fgi.2	uc010hwq.2	False	False	False	False	False
9948	WDR1	uc003gmf.2	uc003gmg.2	True	True	False	False	False
9948	WDR1	uc003gmg.2	uc003gmf.2	True	True	False	False	False
56474	CTPS2	uc004cxm.2	uc004cxl.2	False	False	False	False	False
57786	RBAK	uc010kss.1	uc003sns.1	False	False	False	False	False
55870	ASH1L	uc001fkt.2	uc009wqq.2	False	False	False	False	False
7673	ZNF222	uc002oye.2	uc002oyc.2	False	False	True	False	False
153733	CCDC112	uc003kqz.2	uc003kqy.2	False	False	True	True	False
124044	SPATA2L	uc002foj.2	uc002fok.2	False	False	True	True	False
253827	MSRB3	uc001ssm.2	uc001ssn.2	False	False	True	True	False
26065	LSM14A	uc002nvb.3	uc002nva.3	False	False	True	True	False
55129	ANO10	uc003cmv.2	uc010hil.2	False	False	False	False	False
55129	ANO10	uc003cmv.2	uc011azt.1	False	False	False	False	False
55120	FANCL	uc002rzw.3	uc002rzx.3	False	False	False	False	False
93611	FBXO44	uc001asm.2	uc001asl.2	False	False	False	False	False
93611	FBXO44	uc001asm.2	uc001asn.2	True	False	True	True	False
151194	FAM119A	uc002vce.2	uc002vcg.3	False	False	True	False	False
23248	RPRD2	uc009wlr.2	uc001eup.3	True	False	True	False	False
23242	COBL	uc003tps.2	uc003tpo.3	False	True	True	True	True
89927	C16orf45	uc002ddo.2	uc002ddp.2	False	False	True	False	False
1398	CRK	uc002fsl.2	uc002fsm.2	True	True	True	True	False
8500	PPFIA1	uc001opo.2	uc001opn.1	False	False	True	True	False
8507	ENC1	uc003kdc.3	uc011css.1	True	False	True	False	True
79573	TTC13	uc001huf.3	uc001hug.3	True	False	False	False	False
152098	ZCWPW2	uc003cei.2	uc003ceh.2	False	False	False	False	False
2887	GRB10	uc003tph.3	uc003tpj.2	False	True	True	True	True
2887	GRB10	uc003tpk.2	uc003tpj.2	False	True	False	False	True
2887	GRB10	uc003tpi.2	uc003tpj.2	False	True	False	False	True
2885	GRB2	uc002jnx.3	uc002jny.3	True	True	False	False	True
9988	DMTF1	uc003uih.2	uc011khb.1	False	False	True	True	False
813	CALU	uc003vns.2	uc003vnq.2	True	False	False	False	False
817	CAMK2D	uc003ibj.2	uc003ibk.2	False	False	False	False	False
817	CAMK2D	uc003ibk.2	uc003ibj.2	False	False	False	False	False
80833	APOL3	uc003aos.2	uc003aot.2	False	False	True	False	False
80833	APOL3	uc003aot.2	uc003aos.2	False	False	True	False	False
5265	SERPINA1	uc001ycx.3	uc010auw.2	False	False	False	False	False
5265	SERPINA1	uc001ycx.3	uc001ycz.3	False	False	False	False	False
5265	SERPINA1	uc001ycx.3	uc010ava.2	False	False	False	False	False
5265	SERPINA1	uc001ycx.3	uc010aux.2	False	False	False	False	False
5265	SERPINA1	uc001yda.1	uc001ycz.3	True	False	True	False	False
5265	SERPINA1	uc001ycx.3	uc010auz.2	False	False	False	False	False
5265	SERPINA1	uc001ycx.3	uc010auy.2	False	False	False	False	False
5265	SERPINA1	uc001ycx.3	uc001ydc.3	False	False	False	False	False
5265	SERPINA1	uc001yda.1	uc010auz.2	True	False	True	False	False
5265	SERPINA1	uc001yda.1	uc010auw.2	True	False	True	False	False
5265	SERPINA1	uc001yda.1	uc010ava.2	True	False	True	False	False
5265	SERPINA1	uc001ycx.3	uc001ycy.3	False	False	False	False	False
5265	SERPINA1	uc001ycx.3	uc001ydb.3	False	False	False	False	False
5265	SERPINA1	uc001yda.1	uc010auy.2	True	False	True	False	False
5265	SERPINA1	uc001yda.1	uc001ydb.3	True	False	True	False	False
5265	SERPINA1	uc001ycx.3	uc010avb.2	False	False	False	False	False
5264	PHYH	uc001imf.2	uc001ime.2	True	False	False	False	False
132864	CPEB2	uc003gnj.1	uc003gnn.1	False	False	False	False	False
5269	SERPINB6	uc003mul.2	uc003mum.2	False	False	False	False	False
440193	CCDC88C	uc010aty.2	uc001xzi.2	True	True	True	True	True
440193	CCDC88C	uc001xzj.2	uc001xzi.2	False	False	True	True	True
10742	RAI2	uc004cyg.2	uc010nfa.2	False	False	False	False	False
10742	RAI2	uc010nfa.2	uc004cyg.2	False	False	False	False	False
10742	RAI2	uc010nfa.2	uc011miy.1	False	False	True	True	False
10742	RAI2	uc004cyg.2	uc011miy.1	False	False	True	True	False
117854	TRIM6	uc001mbd.2	uc001mbg.1	True	True	True	False	True
117854	TRIM6	uc001mbd.2	uc001mbc.1	False	False	True	False	False
117854	TRIM6	uc001mbd.2	uc010qzl.1	True	True	True	False	True
146433	IL34	uc002ezh.1	uc002ezi.1	False	False	False	False	False
84525	HOPX	uc003hbz.2	uc003hcb.2	False	False	False	False	False
84525	HOPX	uc003hbz.2	uc011cad.1	False	False	False	False	False
157695	C8orf42	uc003wpd.2	uc011kwg.1	False	False	True	False	False
157922	CAMSAP1	uc004cgr.3	uc010nbg.2	False	False	True	True	False
56889	TM9SF3	uc010qot.1	uc001kmm.3	False	False	False	False	False
137492	VPS37A	uc003wxj.2	uc003wxk.2	False	False	False	False	False
