uc010pwa.1	ENSP00000355632
uc002lzu.2	ENSP00000221847
uc003eek.2	ENSP00000323756
uc001dwm.1	ENSP00000355051
uc002sgu.2	ENSP00000387493
uc001hty.3	ENSP00000355627
uc001baa.2	ENSP00000327214
uc010mbu.2	ENSP00000251808
uc002yvg.2	ENSP00000382104
uc002jky.1	ENSP00000329507
uc003vfu.3	ENSP00000397312
uc003wak.2	ENSP00000308720
uc001jhy.1	ENSP00000378926
uc001hdh.1	ENSP00000356105
uc002jth.2	ENSP00000301618
uc010slk.1	ENSP00000401823
uc001kyg.2	ENSP00000278071
uc004erm.2	ENSP00000335027
uc011hiz.1	ENSP00000366078
uc003een.2	ENSP00000273668
uc010wme.1	ENSP00000409477
uc002hjn.2	ENSP00000354412
uc001jrp.2	ENSP00000362288
uc002vlt.2	ENSP00000363027
uc002uci.2	ENSP00000333781
uc010qcz.1	ENSP00000392625
uc003nnz.3	ENSP00000436375
uc001css.2	ENSP00000337265
uc011iqp.1	ENSP00000382956
uc001pbm.2	ENSP00000377015
uc010vyh.1	ENSP00000403648
uc003tve.2	ENSP00000275532
uc001kml.1	ENSP00000350630
uc002gmx.2	ENSP00000339830
uc001wry.2	ENSP00000447470
uc001jbo.2	ENSP00000339692
uc010tcs.1	ENSP00000443236
uc011cxs.1	ENSP00000394183
uc001ude.2	ENSP00000376235
uc001hlh.1	ENSP00000355900
uc001kwe.3	ENSP00000358905
uc003jgs.1	ENSP00000231021
uc002zek.2	ENSP00000384038
uc003pqv.1	ENSP00000344401
uc003vgm.2	ENSP00000323304
uc001pvf.1	ENSP00000376584
uc002zud.2	ENSP00000372390
uc010cmy.2	ENSP00000458559
uc003ffi.3	ENSP00000376493
uc011aau.1	ENSP00000351767
uc003fgw.2	ENSP00000415243
uc010zux.1	ENSP00000363529
uc002ptm.2	ENSP00000415136
uc002wwe.2	ENSP00000343032
uc003zyg.2	ENSP00000379878
uc003xmr.2	ENSP00000419446
uc002kay.3	ENSP00000328412
uc002xgs.2	ENSP00000237527
uc002ggb.1	ENSP00000319826
uc003mbl.1	ENSP00000296933
uc001mbh.2	ENSP00000402595
uc001mjs.2	ENSP00000433146
uc002ada.2	ENSP00000456337
uc003wow.2	ENSP00000381613
uc001gvr.1	ENSP00000328494
uc001zkm.1	ENSP00000263791
uc002pum.2	ENSP00000409241
uc003mho.2	ENSP00000422753
uc003gtm.2	ENSP00000389600
uc002kzx.1	ENSP00000372530
uc003zve.2	ENSP00000368119
uc002jwj.2	ENSP00000467437
uc001zfn.3	ENSP00000453851
uc004api.2	ENSP00000365061
uc011cbq.1	ENSP00000426977
uc009yln.1	ENSP00000378753
uc001qfl.2	ENSP00000432237
uc002iwq.1	ENSP00000354874
uc002myq.2	ENSP00000343325
uc003lag.2	ENSP00000282611
uc011aon.1	ENSP00000444734
uc010ygh.1	ENSP00000351883
uc001sxw.2	ENSP00000376947
uc001ulb.2	ENSP00000442603
uc010gsm.2	ENSP00000349098
uc002cfv.3	ENSP00000322421
uc001pwq.2	ENSP00000431301
uc001fxi.2	ENSP00000357000
uc003apv.1	ENSP00000393541
uc003cla.2	ENSP00000340702
uc010xju.1	ENSP00000377728
uc001xkt.2	ENSP00000392177
uc010xkv.1	ENSP00000464716
uc011bdo.1	ENSP00000466036
uc003zje.2	ENSP00000370989
uc003hzk.2	ENSP00000265175
uc004evp.1	ENSP00000218197
uc002sjt.2	ENSP00000377636
uc001jrb.2	ENSP00000362314
uc003irf.2	ENSP00000377361
uc010xml.1	ENSP00000441761
uc010ilp.1	ENSP00000391448
uc010rpg.1	ENSP00000405764
uc001cod.2	ENSP00000312606
uc002okp.1	ENSP00000326864
uc002qms.1	ENSP00000467238
uc004eia.1	ENSP00000471433
uc010xxz.1	ENSP00000407771
uc001bqw.2	ENSP00000263974
uc001zxs.2	ENSP00000251250
uc004cab.1	ENSP00000247291
uc001jsw.2	ENSP00000299381
uc001osd.1	ENSP00000377281
uc001haa.2	ENSP00000406970
uc003ozl.2	ENSP00000339155
uc003dgh.2	ENSP00000378233
uc002pht.2	ENSP00000340660
uc002mnu.3	ENSP00000221980
uc002otn.3	ENSP00000367313
uc001fnp.2	ENSP00000352497
uc001bwi.1	ENSP00000362562
uc010mec.2	ENSP00000427744
uc010hxp.2	ENSP00000389268
uc002hiq.2	ENSP00000466834
uc011ete.1	ENSP00000366399
uc001lhn.2	ENSP00000402394
uc003spj.2	ENSP00000392843
uc011jlr.1	ENSP00000365018
uc003lyu.2	ENSP00000274545
uc003ccc.2	ENSP00000404562
uc003evo.2	ENSP00000320081
uc001mit.1	ENSP00000434320
uc011bnq.1	ENSP00000418230
uc011duk.1	ENSP00000401595
uc002ocb.3	ENSP00000353331
uc002lrc.1	ENSP00000468607
uc002kak.1	ENSP00000461672
uc011law.1	ENSP00000398208
uc002lwh.2	ENSP00000393715
uc003jrm.2	ENSP00000416706
uc001dfg.1	ENSP00000401423
uc001rsp.2	ENSP00000449751
uc011bkf.1	ENSP00000440824
uc003vrm.1	ENSP00000285928
uc011msy.1	ENSP00000378260
uc010ntr.1	ENSP00000470872
uc010nod.2	ENSP00000445683
uc001fbb.2	ENSP00000357745
uc010baf.2	ENSP00000405989
uc001rnz.2	ENSP00000448750
uc001dcz.2	ENSP00000360061
uc002kzj.2	ENSP00000401139
uc002zhu.1	ENSP00000355180
uc010oto.1	ENSP00000403357
uc011fqt.1	ENSP00000390784
uc003ajy.2	ENSP00000385264
uc010qdz.1	ENSP00000387546
uc001iga.2	ENSP00000370748
uc003ntt.2	ENSP00000393712
uc010qgk.1	ENSP00000363294
uc009zxk.2	ENSP00000288912
uc003eyj.2	ENSP00000295911
uc002tex.2	ENSP00000380826
uc003trt.2	ENSP00000275607
uc002npd.1	ENSP00000291750
uc003ibj.2	ENSP00000378032
uc002exr.2	ENSP00000368334
uc003dki.3	ENSP00000347188
uc011dhn.1	ENSP00000397459
uc002wwv.1	ENSP00000381157
uc011ezw.1	ENSP00000397956
uc003oot.2	ENSP00000287152
uc001mdh.2	ENSP00000352508
uc010aue.2	ENSP00000267620
uc003jix.2	ENSP00000340879
uc002wee.2	ENSP00000371370
uc001jul.2	ENSP00000378290
uc001cbm.1	ENSP00000348944
uc003bit.3	ENSP00000382900
uc002wzu.3	ENSP00000345571
uc001isv.2	ENSP00000365388
uc002mjc.3	ENSP00000253451
uc002bag.2	ENSP00000455998
uc003pxa.2	ENSP00000385836
uc011htk.1	ENSP00000364985
uc003ebx.2	ENSP00000420486
uc002lzd.1	ENSP00000301264
uc003yoq.2	ENSP00000259526
uc001vpo.2	ENSP00000365200
uc002dgf.3	ENSP00000454710
uc002tyc.3	ENSP00000263904
uc001gbd.2	ENSP00000236938
uc001svl.1	ENSP00000368092
uc003tlk.2	ENSP00000417443
uc001aui.2	ENSP00000350358
uc002mnc.2	ENSP00000323872
uc001vsv.2	ENSP00000364731
uc001imk.2	ENSP00000367893
uc001pei.2	ENSP00000442094
uc001mcm.2	ENSP00000431773
uc010drs.2	ENSP00000292363
uc003xgr.2	ENSP00000428452
uc003eeq.2	ENSP00000419414
uc004fra.1	ENSP00000372506
uc009yzq.1	ENSP00000464144
uc010swi.1	ENSP00000445899
uc003zgl.1	ENSP00000371734
uc002rgl.2	ENSP00000384787
uc001cmh.3	ENSP00000361291
uc004fen.2	ENSP00000471532
uc003vbc.2	ENSP00000392775
uc002fpn.1	ENSP00000268676
uc001rpk.2	ENSP00000320848
uc002fxt.2	ENSP00000347721
uc002fby.2	ENSP00000349451
uc001dkj.2	ENSP00000340279
uc003qei.3	ENSP00000237316
uc003ccm.2	ENSP00000415225
uc011gzs.1	ENSP00000365065
uc011cqm.1	ENSP00000389101
uc001nkk.2	ENSP00000435673
uc004efm.1	ENSP00000384758
uc002klw.2	ENSP00000384133
uc011cod.1	ENSP00000394291
uc001iyl.2	ENSP00000417807
uc004ecz.3	ENSP00000472461
uc001ept.1	ENSP00000463851
uc003onu.1	ENSP00000402584
uc010oqx.1	ENSP00000409336
uc010ivx.2	ENSP00000427335
uc002wub.2	ENSP00000316924
uc010wua.1	ENSP00000462007
uc003ynf.2	ENSP00000337675
uc001lmc.2	ENSP00000305906
uc010ota.1	ENSP00000378038
uc003swa.2	ENSP00000386476
uc003opl.2	ENSP00000244669
uc010ucz.1	ENSP00000442467
uc002mmj.1	ENSP00000466910
uc001app.3	ENSP00000366631
uc004fse.2	ENSP00000406407
uc001lwn.2	ENSP00000155840
uc001eoa.2	ENSP00000462898
uc002clr.2	ENSP00000413100
uc010xgo.1	ENSP00000389254
uc003kgj.2	ENSP00000426237
uc004flq.2	ENSP00000472068
uc002noh.3	ENSP00000408892
uc001ujz.1	ENSP00000328854
uc011mko.1	ENSP00000400019
uc001ush.2	ENSP00000266943
uc010dfr.2	ENSP00000376401
uc001qtm.2	ENSP00000407287
uc003vnu.1	ENSP00000367956
uc002tlu.2	ENSP00000386714
uc003ynn.3	ENSP00000402652
uc002ciw.1	ENSP00000399475
uc009yvu.2	ENSP00000474678
uc002jrk.3	ENSP00000376285
uc002mft.2	ENSP00000245908
uc003kwy.1	ENSP00000338228
uc011fle.1	ENSP00000454948
uc001nlz.3	ENSP00000434672
uc002fqo.2	ENSP00000385121
uc010oti.1	ENSP00000443295
uc002ubu.2	ENSP00000386541
uc001wbf.3	ENSP00000445916
uc001pnb.1	ENSP00000434161
uc001oph.2	ENSP00000334122
uc004cwt.1	ENSP00000297904
uc003aci.2	ENSP00000384185
uc001peg.2	ENSP00000346403
uc010uml.1	ENSP00000378403
uc002hyl.1	ENSP00000377470
uc010snc.1	ENSP00000398804
uc002vyw.3	ENSP00000264039
uc002yok.1	ENSP00000375107
uc010occ.1	ENSP00000440046
uc001jnp.1	ENSP00000362779
uc003yne.2	ENSP00000367655
uc004cxs.1	ENSP00000369424
uc003qum.3	ENSP00000230301
uc010wde.1	ENSP00000377903
uc003kjb.2	ENSP00000256897
uc001uam.1	ENSP00000376257
uc003kyn.1	ENSP00000265342
uc002nzd.2	ENSP00000469522
uc003xpk.2	ENSP00000254250
uc010ied.1	ENSP00000385347
uc010hss.2	ENSP00000393755
uc004etb.2	ENSP00000414253
uc003wnq.2	ENSP00000374064
uc001nfo.1	ENSP00000435926
uc011mwr.1	ENSP00000468887
uc010wqw.1	ENSP00000433089
uc010yrg.1	ENSP00000444379
uc010vnb.1	ENSP00000391669
uc001rxe.3	ENSP00000446769
uc002tcw.2	ENSP00000350846
uc011ffc.1	ENSP00000387910
uc001ygt.2	ENSP00000384720
uc001fea.1	ENSP00000357521
uc011coj.1	ENSP00000422942
uc001jkk.3	ENSP00000362987
uc001udf.2	ENSP00000341471
uc002vtt.2	ENSP00000387033
uc002swk.3	ENSP00000469009
uc010szp.1	ENSP00000437803
uc011iro.1	ENSP00000409468
uc002bwf.2	ENSP00000318423
uc002rkg.1	ENSP00000233575
uc002paj.1	ENSP00000423287
uc001uqp.2	ENSP00000370982
uc011ljd.1	ENSP00000394049
uc001jdj.1	ENSP00000421999
uc001wit.3	ENSP00000262710
uc010dxw.2	ENSP00000464941
uc001pve.1	ENSP00000443058
uc002wia.1	ENSP00000332123
uc003fnu.3	ENSP00000323737
uc002lly.2	ENSP00000323584
uc003zyd.2	ENSP00000341083
uc001huc.1	ENSP00000411384
uc011clo.1	ENSP00000448306
uc001tqk.3	ENSP00000440045
uc001oyc.2	ENSP00000392185
uc004blt.1	ENSP00000362881
uc003unq.2	ENSP00000402893
uc003pjc.2	ENSP00000358813
uc004eau.2	ENSP00000471156
uc002uwi.2	ENSP00000387012
uc001nqo.2	ENSP00000445773
uc003juy.2	ENSP00000256447
uc001fjc.2	ENSP00000317106
uc002dhe.2	ENSP00000327916
uc010ufg.1	ENSP00000442500
uc003ptv.1	ENSP00000352425
uc002qph.2	ENSP00000468937
uc002dmb.1	ENSP00000300113
uc001gga.1	ENSP00000356780
uc004ctk.3	ENSP00000312678
uc001kig.2	ENSP00000260762
uc003pvs.2	ENSP00000474987
uc003flr.2	ENSP00000341342
uc001nxx.2	ENSP00000355091
uc010wyw.1	ENSP00000462848
uc011lvy.1	ENSP00000439423
uc002kbx.1	ENSP00000458515
uc001fay.2	ENSP00000441477
uc002jne.2	ENSP00000405965
uc003pdi.3	ENSP00000439320
uc003toq.2	ENSP00000411096
uc009xte.1	ENSP00000396080
uc001qyq.1	ENSP00000319240
uc011ikp.1	ENSP00000383265
uc002ata.2	ENSP00000399356
uc003miw.2	ENSP00000425031
uc001duf.2	ENSP00000345192
uc010vih.1	ENSP00000457119
uc003equ.2	ENSP00000419574
uc001isg.1	ENSP00000432930
uc002wsv.2	ENSP00000246006
uc010ggc.2	ENSP00000362428
uc004dpy.2	ENSP00000335385
uc003ela.3	ENSP00000312618
uc002shg.2	ENSP00000386378
uc003jkh.2	ENSP00000296604
uc002ztb.1	ENSP00000384050
uc001lfp.2	ENSP00000358039
uc010jaz.1	ENSP00000427020
uc001haf.2	ENSP00000438527
uc011fxb.1	ENSP00000365694
uc001osc.1	ENSP00000377281
uc010xxy.1	ENSP00000244303
uc011kul.1	ENSP00000338984
uc010cih.1	ENSP00000367596
uc003fbx.2	ENSP00000417777
uc001jky.2	ENSP00000280772
uc010smd.1	ENSP00000448972
uc003xqp.2	ENSP00000020945
uc002mpt.1	ENSP00000347890
uc003fqz.2	ENSP00000376272
uc002zgj.3	ENSP00000331610
uc002wsy.2	ENSP00000366250
uc003evh.1	ENSP00000418563
uc010fll.2	ENSP00000393856
uc010ypo.1	ENSP00000385893
uc001qap.2	ENSP00000432305
uc003kdj.1	ENSP00000405808
uc002acq.2	ENSP00000337761
uc001adq.2	ENSP00000342541
uc002zfo.1	ENSP00000335565
uc011los.1	ENSP00000413684
uc002fsd.2	ENSP00000303909
uc009ztx.2	ENSP00000376715
uc003yyy.2	ENSP00000220966
uc011lix.1	ENSP00000254627
uc003ond.1	ENSP00000362730
uc001qqc.2	ENSP00000380013
uc002lgz.2	ENSP00000348847
uc002tvp.2	ENSP00000339750
uc010nbf.2	ENSP00000417851
uc003wjb.2	ENSP00000419214
uc010sjb.1	ENSP00000444056
uc003luk.2	ENSP00000316854
uc001pti.2	ENSP00000472542
uc001low.1	ENSP00000372059
uc011ftd.1	ENSP00000431709
uc002vgd.3	ENSP00000350940
uc002htx.2	ENSP00000463466
uc003lxi.1	ENSP00000296951
uc003frw.1	ENSP00000341031
uc011bom.1	ENSP00000295920
uc001fjm.2	ENSP00000354958
uc011den.1	ENSP00000427772
uc004dcs.1	ENSP00000340057
uc002wfn.1	ENSP00000370995
uc004but.2	ENSP00000300456
uc003ptd.2	ENSP00000402237
uc011ede.1	ENSP00000434826
uc003ged.3	ENSP00000372348
uc001wlu.3	ENSP00000453656
uc001dxa.3	ENSP00000271332
uc003jxz.3	ENSP00000321791
uc001guf.3	ENSP00000356366
uc003nkc.1	ENSP00000303408
uc002opt.2	ENSP00000332679
uc001dbn.1	ENSP00000360116
uc010vjc.1	ENSP00000457243
uc001rwq.1	ENSP00000340901
uc003eny.2	ENSP00000397180
uc002tkm.3	ENSP00000365622
uc003kdw.2	ENSP00000241436
uc001rkv.2	ENSP00000446793
uc001aks.2	ENSP00000367534
uc002gkg.3	ENSP00000402732
uc002ziy.2	ENSP00000340675
uc002ssz.3	ENSP00000351402
uc001lli.2	ENSP00000357602
uc010ouw.1	ENSP00000432540
uc010phh.1	ENSP00000292291
uc011gen.1	ENSP00000364978
uc001fon.1	ENSP00000357242
uc001bhq.2	ENSP00000246151
uc001utt.2	ENSP00000298386
uc003qti.2	ENSP00000275300
uc002jfk.2	ENSP00000320592
uc010mbw.1	ENSP00000430641
uc002wvb.2	ENSP00000252979
uc002mme.2	ENSP00000247977
uc003lzu.2	ENSP00000265293
uc001wxo.1	ENSP00000379201
uc011apx.1	ENSP00000390379
uc010zwh.1	ENSP00000398516
uc010ezu.2	ENSP00000393596
uc010lya.2	ENSP00000444026
uc011jhs.1	ENSP00000391507
uc003cms.3	ENSP00000296088
uc002wmi.2	ENSP00000368174
uc011kac.1	ENSP00000395059
uc010rvp.1	ENSP00000282251
uc001kcc.3	ENSP00000361254
uc003huz.3	ENSP00000378342
uc001xzx.3	ENSP00000345008
uc004esn.1	ENSP00000470483
uc003vzo.2	ENSP00000374916
uc004fqn.1	ENSP00000355419
uc001pmf.1	ENSP00000434247
uc001xpd.1	ENSP00000445326
uc001alf.2	ENSP00000355306
uc003wxy.2	ENSP00000371262
uc002pjb.1	ENSP00000329471
uc011aus.1	ENSP00000396340
uc001itd.2	ENSP00000365340
uc001pdm.2	ENSP00000436570
uc002qcx.3	ENSP00000474178
uc011bzq.1	ENSP00000415309
uc010cbz.2	ENSP00000417422
uc010nek.1	ENSP00000350966
uc002xxb.2	ENSP00000243911
uc010otd.1	ENSP00000359404
uc010crk.1	ENSP00000395142
uc001bpc.3	ENSP00000363031
uc010ham.2	ENSP00000386034
uc002yxv.2	ENSP00000370046
uc011buv.1	ENSP00000423586
uc001zws.2	ENSP00000370376
uc009xxx.2	ENSP00000358464
uc003iev.1	ENSP00000264498
uc010wli.1	ENSP00000407369
uc002oew.2	ENSP00000349161
uc003pwj.2	ENSP00000326858
uc011cpy.1	ENSP00000426404
uc010wkx.1	ENSP00000445006
uc002wip.1	ENSP00000435801
uc010xnr.1	ENSP00000444212
uc011lod.1	ENSP00000368541
uc010mxo.2	ENSP00000362371
uc003xlm.1	ENSP00000428765
uc010gzg.2	ENSP00000385040
uc002hho.1	ENSP00000324527
uc003ovu.2	ENSP00000410818
uc011hwc.1	ENSP00000411380
uc001qsk.2	ENSP00000469947
uc011gbu.1	ENSP00000414084
uc003lru.2	ENSP00000261793
uc002wno.2	ENSP00000367631
uc010hjh.2	ENSP00000405546
uc011fkt.1	ENSP00000364298
uc011kyq.1	ENSP00000387549
uc003dqe.2	ENSP00000420321
uc002jyp.1	ENSP00000307549
uc002zak.2	ENSP00000328495
uc011mqt.1	ENSP00000440830
uc010ffd.2	ENSP00000386843
uc001luc.1	ENSP00000236671
uc003jkc.1	ENSP00000274255
uc001qtn.2	ENSP00000379834
uc001opk.1	ENSP00000319477
uc001aqx.3	ENSP00000366290
uc010zrw.1	ENSP00000385279
uc010oue.1	ENSP00000394913
uc003qav.2	ENSP00000357297
uc010tsp.1	ENSP00000452433
uc003bft.2	ENSP00000379403
uc011iof.1	ENSP00000372991
uc001iiz.1	ENSP00000369293
uc001vzd.2	ENSP00000380956
uc004ffd.2	ENSP00000377497
uc010wvc.1	ENSP00000458330
uc001ujs.3	ENSP00000374211
uc001abz.3	ENSP00000317992
uc001ima.2	ENSP00000418268
uc001sht.2	ENSP00000337632
uc002crz.1	ENSP00000458506
uc010mgf.2	ENSP00000304544
uc001ogb.1	ENSP00000436568
uc003fal.1	ENSP00000445446
uc001rtz.1	ENSP00000335285
uc003cyc.2	ENSP00000266022
uc001npi.2	ENSP00000437222
uc002cho.2	ENSP00000026218
uc011enm.1	ENSP00000409866
uc001vqi.2	ENSP00000245323
uc011hiq.1	ENSP00000431709
uc003oes.2	ENSP00000353878
uc004ejd.1	ENSP00000392879
uc002ppe.2	ENSP00000375724
uc002mmy.1	ENSP00000253109
uc001lap.2	ENSP00000358321
uc003ovl.1	ENSP00000361499
uc011dqj.1	ENSP00000447831
uc009xcx.2	ENSP00000416845
uc002pqh.2	ENSP00000472300
uc002non.2	ENSP00000342002
uc010ktr.2	ENSP00000403982
uc011nak.1	ENSP00000370878
uc011dlw.1	ENSP00000418259
uc011mit.1	ENSP00000414714
uc002ell.1	ENSP00000377914
uc001bec.2	ENSP00000383274
uc010epy.2	ENSP00000301096
uc010dqo.2	ENSP00000461947
uc001feb.1	ENSP00000357517
uc002ynk.2	ENSP00000382805
uc001tga.2	ENSP00000353059
uc002qcj.3	ENSP00000375653
uc011jgb.1	ENSP00000365744
uc002hfs.1	ENSP00000313171
uc010inj.1	ENSP00000377948
uc001jkh.2	ENSP00000363002
uc010dgl.2	ENSP00000317636
uc003agn.2	ENSP00000380883
uc009yih.1	ENSP00000263182
uc010mjf.1	ENSP00000310126
uc001rzl.2	ENSP00000397550
uc001zwa.2	ENSP00000348276
uc011ixu.1	ENSP00000401919
uc010jiu.1	ENSP00000430532
uc002ueo.1	ENSP00000263817
uc004dor.1	ENSP00000470125
uc003qsx.1	ENSP00000275275
uc003uga.2	ENSP00000285871
uc011fgc.1	ENSP00000410347
uc011avt.1	ENSP00000404883
uc011mjy.1	ENSP00000462745
uc010xia.1	ENSP00000472581
uc011dft.1	ENSP00000421089
uc003tnp.2	ENSP00000275525
uc003jft.3	ENSP00000421280
uc003eps.2	ENSP00000260810
uc003ymz.3	ENSP00000309818
uc001ilw.1	ENSP00000368021
uc003hpy.2	ENSP00000394794
uc001znz.2	ENSP00000260386
uc003tfs.2	ENSP00000379334
uc010vtf.1	ENSP00000459372
uc010hzg.1	ENSP00000412053
uc003xsm.2	ENSP00000429374
uc002zae.1	ENSP00000383279
uc003afk.2	ENSP00000348297
uc002gne.2	ENSP00000262442
uc003qax.2	ENSP00000436585
uc011gvr.1	ENSP00000373031
uc002xks.2	ENSP00000362168
uc002sgk.3	ENSP00000404023
uc010pkt.1	ENSP00000413150
uc002dhf.3	ENSP00000379411
uc002axr.2	ENSP00000452817
uc003hxi.1	ENSP00000378245
uc001htk.3	ENSP00000355649
uc003ptu.2	ENSP00000275169
uc009zaw.1	ENSP00000404063
uc002yhc.2	ENSP00000343547
uc001kyy.2	ENSP00000331152
uc010xtv.1	ENSP00000390223
uc002kva.2	ENSP00000431142
uc001kjw.3	ENSP00000341293
uc003bxe.2	ENSP00000397983
uc001npg.2	ENSP00000350983
uc010qql.1	ENSP00000437572
uc001ubm.2	ENSP00000261817
uc003dlw.3	ENSP00000420234
uc004dgm.3	ENSP00000298190
uc002qic.2	ENSP00000472012
uc002hzo.2	ENSP00000349541
uc002ghw.2	ENSP00000250124
uc010xfc.1	ENSP00000310359
uc010mpw.2	ENSP00000401688
uc002fwx.1	ENSP00000312577
uc001djj.2	ENSP00000359723
uc011cft.1	ENSP00000378131
uc004avt.3	ENSP00000288985
uc001swq.2	ENSP00000310796
uc004bhk.2	ENSP00000363295
uc002lxy.2	ENSP00000467207
uc003pjp.2	ENSP00000358762
uc002ipe.2	ENSP00000240327
uc010hpg.2	ENSP00000419642
uc001lfw.2	ENSP00000350701
uc010psu.1	ENSP00000442625
uc002fec.2	ENSP00000454552
uc003xgt.2	ENSP00000428452
uc002rss.2	ENSP00000367930
uc002oku.1	ENSP00000333639
uc002yny.1	ENSP00000346536
uc010qfc.1	ENSP00000363558
uc001rey.2	ENSP00000395449
uc001cvj.1	ENSP00000360509
uc002pyx.3	ENSP00000327597
uc004eek.1	ENSP00000423670
uc002xnf.1	ENSP00000361871
uc001eih.1	ENSP00000358409
uc002vnx.2	ENSP00000386895
uc001lqb.2	ENSP00000380712
uc002ipr.1	ENSP00000381221
uc001cfe.2	ENSP00000361852
uc001uga.2	ENSP00000337320
uc001oty.1	ENSP00000348852
uc001uxc.2	ENSP00000368920
uc003whz.1	ENSP00000354193
uc003vta.2	ENSP00000297282
uc001vfm.2	ENSP00000411245
uc001adr.2	ENSP00000342541
uc002eef.3	ENSP00000299138
uc010uqa.1	ENSP00000452998
uc003iqs.1	ENSP00000274056
uc010nht.1	ENSP00000366217
uc001qio.3	ENSP00000313059
uc001wmq.2	ENSP00000380073
uc003tzb.2	ENSP00000461104
uc001gvl.2	ENSP00000236925
uc002kmq.2	ENSP00000383009
uc003aau.1	ENSP00000385975
uc003lut.2	ENSP00000411593
uc010ulx.1	ENSP00000440447
uc001jfm.1	ENSP00000421999
uc010mmm.1	ENSP00000434029
uc002yxg.2	ENSP00000354194
uc002sgy.2	ENSP00000347972
uc001mah.1	ENSP00000327431
uc002gfk.1	ENSP00000459633
uc001fse.2	ENSP00000357149
uc001hmq.2	ENSP00000355880
uc003gec.3	ENSP00000372348
uc003xje.2	ENSP00000332757
uc001qmu.2	ENSP00000309479
uc001fct.2	ENSP00000404290
uc004cnk.1	ENSP00000277540
uc002gez.1	ENSP00000005340
uc003uni.3	ENSP00000297273
uc003vdz.2	ENSP00000418738
uc001rwn.2	ENSP00000430851
uc001bmu.1	ENSP00000387636
uc004aqa.2	ENSP00000365015
uc003uqi.2	ENSP00000395311
uc004eqk.2	ENSP00000419803
uc003fue.2	ENSP00000333355
uc002vey.3	ENSP00000415935
uc002gkd.2	ENSP00000314420
uc003pms.2	ENSP00000265607
uc002kbf.2	ENSP00000380635
uc011kqe.1	ENSP00000389197
uc001kop.2	ENSP00000353069
uc010lub.2	ENSP00000442592
uc003uml.2	ENSP00000340532
