Symbol	GeneId	tx
ABCA3	21	uc010bsk.1
ABCA3	21	uc010bsl.1
ABCA4	24	uc001dqh.2
ABCA4	24	uc001dqi.1
ABCA4	24	uc009wdp.1
ABCA4	24	uc010otn.1
ABCA5	23461	uc002jib.2
ABCA5	23461	uc002jic.2
ABCA5	23461	uc002jid.2
ABCA5	23461	uc002jie.2
ABCA5	23461	uc002jif.2
ABCA5	23461	uc002jig.2
ABCA5	23461	uc002jih.2
ABCA5	23461	uc010dfe.2
ABCA6	23460	uc002jhw.1
ABCA6	23460	uc002jhx.1
ABCA6	23460	uc002jhy.2
ABCA7	10347	uc002lqw.3
ABCA7	10347	uc002lqy.2
ABCA7	10347	uc010dsa.2
ABCA7	10347	uc010dsb.1
ABCA7	10347	uc010dsc.2
ABCA8	10351	uc002jhp.2
ABCA8	10351	uc002jhq.2
ABCA8	10351	uc002jhr.2
ABCA8	10351	uc002jhs.2
ABCA8	10351	uc002jht.2
ABCA8	10351	uc010wqq.1
ABCA8	10351	uc010wqr.1
ABCA9	10350	uc002jhu.2
ABCA9	10350	uc002jhv.2
ABCA9	10350	uc010dez.2
ABCB10	23456	uc001htp.3
ABCB11	8647	uc002ueo.1
ABCB11	8647	uc010zda.1
ABCB11	8647	uc010zdb.1
ABCB1	5243	uc003uiz.1
ABCB1	5243	uc003uja.1
ABCB1	5243	uc010lei.1
ABCB1	5243	uc011khc.1
ABCB4	5244	uc003uiv.1
ABCB4	5244	uc003uiw.1
ABCB4	5244	uc003uix.1
ABCB4	5244	uc003uiy.2
ABCB5	340273	uc003suv.3
ABCB5	340273	uc003suw.3
ABCB5	340273	uc003sux.1
ABCB5	340273	uc010kuh.2
ABCB5	340273	uc011jyi.1
ABCB6	10058	uc002vkc.1
ATG9A	79065	uc002vkc.1
ABCB6	10058	uc002vkd.1
ATG9A	79065	uc002vkd.1
ABCB6	10058	uc002vke.1
ATG9A	79065	uc002vke.1
ABCB6	10058	uc002vkf.1
ATG9A	79065	uc002vkf.1
ABCB6	10058	uc010fwe.1
ATG9A	79065	uc010fwe.1
ABCB6	10058	uc010zku.1
ATG9A	79065	uc010zku.1
ABCB7	22	uc004ebz.2
ABCB7	22	uc004eca.2
ABCB7	22	uc010nls.2
ABCB7	22	uc010nlt.2
ABCB7	22	uc011mqn.1
ABCB8	11194	uc003wii.2
ABCB8	11194	uc003wij.3
ABCB8	11194	uc003wik.3
ABCB8	11194	uc003wil.3
ABCB8	11194	uc003wim.3
ABCB8	11194	uc010lpw.1
ABCB8	11194	uc010lpx.2
ABCB8	11194	uc011kvd.1
ABCB9	23457	uc001udm.3
ABCB9	23457	uc001udo.3
ABCB9	23457	uc001udp.2
ABCB9	23457	uc001udq.2
ABCB9	23457	uc001udr.2
ABCB9	23457	uc009zxr.2
ABCB9	23457	uc010tai.1
ABCB9	23457	uc010taj.1
ABCC10	89845	uc003ouy.1
ABCC10	89845	uc003ouz.1
ABCC10	89845	uc010jyo.1
ABCC11	85320	uc002eff.1
ABCC11	85320	uc002efg.1
ABCC11	85320	uc002efh.1
ABCC11	85320	uc010cbg.1
ABCC11	85320	uc010vgk.1
ABCC11	85320	uc010vgl.1
ABCC12	94160	uc002eey.1
ABCC12	94160	uc002eez.1
ABCC12	94160	uc002efa.1
ABCC12	94160	uc002efb.1
ABCC12	94160	uc002efc.1
ABCC12	94160	uc002efd.1
ABCC12	94160	uc002efe.1
ABCC12	94160	uc010vgj.1
ABCC13	150000	uc002yjq.2
ABCC13	150000	uc002yjr.2
ABCC13	150000	uc002yjs.2
ABCC13	150000	uc010gkx.2
ABCC1	4363	uc002del.3
ABCC1	4363	uc010bvi.2
ABCC1	4363	uc010bvj.2
ABCC1	4363	uc010bvk.2
ABCC1	4363	uc010bvl.2
ABCC1	4363	uc010bvm.2
ABCC1	4363	uc010bvn.2
ABCC2	1244	uc001kqf.2
ABCC3	8714_2	uc002ism.2
ABCC3	8714	uc002isk.3
ABCC3	8714	uc002isl.2
ABCC3	8714	uc002isn.2
ABCC4	10257	uc001vmd.3
ABCC4	10257	uc001vme.2
ABCC4	10257	uc001vmf.2
ABCC4	10257	uc010afj.2
ABCC4	10257	uc010afk.2
ABCC4	10257	uc010afl.1
ABCC4	10257	uc010afm.1
ABCC4	10257	uc010tih.1
ABCC5	10057	uc003fmg.2
ABCC5	10057	uc003fmh.2
ABCC5	10057	uc003fmi.3
ABCC5	10057	uc010hxl.2
ABCC5	10057	uc010hxm.2
ABCC5	10057	uc010hxn.2
ABCC5	10057	uc010hxo.2
ABCC5	10057	uc011bqt.1
ABCC6	368	uc002dem.2
ABCC6	368	uc002den.3
ABCC6	368	uc002deo.3
ABCC6	368	uc010bvo.2
ABCC6	368	uc010uzz.1
ABCC6P1	653190	uc002dfg.2
ABCC6P1	653190	uc010vam.1
ABCC6P2	730013	uc002dcu.2
ABCC8	6833	uc001mnc.2
ABCC8	6833	uc010rcy.1
ABCC9	10060	uc001rfg.2
ABCC9	10060	uc001rfh.2
ABCC9	10060	uc001rfi.1
ABCC9	10060	uc001rfj.1
ABCC9	10060	uc001rfk.2
ABCC9	10060	uc001rfl.1
ABCD1	215	uc004fif.2
ABCD1	215	uc004fig.2
ABCD1	215	uc004fih.2
ABCD2	225	uc001rmb.2
ABCD3	5825	uc001dqm.3
ABCD3	5825	uc001dqn.3
ABCD3	5825	uc001dqo.3
ABCD3	5825	uc009wdr.2
ABCD3	5825	uc010oto.1
ABCD3	5825	uc010otp.1
ABCD4	5826	uc001xpr.2
ABCD4	5826	uc001xps.2
ABCD4	5826	uc001xpt.2
ABCD4	5826	uc001xpu.2
ABCD4	5826	uc001xpv.2
ABCD4	5826	uc010tur.1
ABCE1	6059	uc003ijx.2
ABCE1	6059	uc003ijy.2
ABCE1	6059	uc010iot.2
ABCF1	23	uc003nqk.2
ABCF1	23	uc003nql.2
ABCF1	23	uc003nqm.2
ABCF1	23	uc010jsb.2
ABCF2	10061	uc003wjo.1
ABCF2	10061	uc003wjp.2
ABCF3	55324	uc003fmz.2
ABCF3	55324	uc003fna.2
ABCF3	55324	uc003fnb.2
ABCG1	9619	uc002zam.2
ABCG1	9619	uc002zan.2
ABCG1	9619	uc002zao.2
ABCG1	9619	uc002zap.2
ABCG1	9619	uc002zaq.2
ABCG1	9619	uc002zar.2
ABCG1	9619	uc010gpb.1
ABCG1	9619	uc011aev.1
ABCG2	9429	uc003hrf.2
ABCG2	9429	uc003hrg.2
ABCG2	9429	uc003hrh.2
ABCG2	9429	uc003hri.1
ABCG2	9429	uc003hrj.1
ABCG2	9429	uc003hrk.1
ABCG4	64137	uc001pvs.2
ABCG4	64137	uc001pvt.1
ABCG4	64137	uc009zar.2
ABCG5	64240	uc002rtm.2
ABCG5	64240	uc002rtn.2
ABCG5	64240	uc002rto.2
ABCG5	64240	uc002rtp.2
ABCG8	64241	uc002rtq.2
ABCG8	64241	uc010yoa.1
ABHD10	55347	uc003dyk.3
ABHD10	55347	uc011bhq.1
ABHD11	83451	uc003tza.2
ABHD11	83451	uc003tzb.2
ABHD11	83451	uc003tzc.2
ABHD11	83451	uc003tzf.2
ABHD11	83451	uc011kfb.1
ABHD11	83451	uc011kfc.1
ABHD12	26090	uc002wuq.2
ABHD12	26090	uc002wur.2
ABHD12	26090	uc002wus.1
ABHD12	26090	uc002wut.1
ABHD12	26090	uc002wuu.1
ABHD12B	145447	uc001wyq.2
ABHD12B	145447	uc001wyr.2
ABHD12B	145447	uc001wys.2
ABHD12B	145447	uc010any.2
ABHD13	84945	uc001vqq.2
ABHD14B	84836	uc003dcm.2
ABHD14B	84836	uc003dcn.2
ABHD14B	84836	uc010hly.2
ABHD14B	84836	uc011bdy.1
ABHD14B	84836	uc011bdz.1
ABHD15	116236	uc002hed.1
ABHD1	84696_2	uc002riw.2
ABHD1	84696	uc002rit.2
ABHD1	84696	uc002riu.2
ABHD1	84696	uc002riv.2
ABHD2	11057	uc002bnj.2
ABHD2	11057	uc002bnk.2
ABHD2	11057	uc010ups.1
ABHD3	171586	uc002ktk.2
ABHD3	171586	uc002ktl.2
ABHD3	171586	uc002ktm.2
ABHD3	171586	uc002ktn.2
ABHD3	171586	uc002kto.2
ABHD3	171586	uc010xao.1
ABHD4	63874	uc001wgm.2
ABHD4	63874	uc010tmz.1
ABHD4	63874	uc010tna.1
ABHD4	63874	uc010tnb.1
ABHD5	51099	uc003cmx.2
ABHD6	57406	uc003djr.2
ABHD6	57406	uc003djs.3
ABHD6	57406	uc003djt.3
ABHD8	79575	uc002ngb.3
ABI1	10006	uc001isx.2
ABI1	10006	uc001isy.2
ABI1	10006	uc001isz.2
ABI1	10006	uc001ita.2
ABI1	10006	uc001itb.2
ABI1	10006	uc001itc.2
ABI1	10006	uc001itd.2
ABI1	10006	uc001ite.2
ABI1	10006	uc010qdg.1
ABI1	10006	uc010qdh.1
ABI1	10006	uc010qdi.1
ABI1	10006	uc010qdj.1
ABI1	10006	uc010qdk.1
ABI2	10152	uc002uzz.2
ABI2	10152	uc002vaa.2
ABI2	10152	uc002vab.2
ABI2	10152	uc002vac.2
ABI2	10152	uc010zig.1
ABI2	10152	uc010zih.1
ABI2	10152	uc010zii.1
ABI2	10152	uc010zij.1
ABI2	10152	uc010zik.1
ABI2	10152	uc010zil.1
ABI2	10152	uc010zim.1
ABI2	10152	uc010zin.1
ABI3	51225	uc002iop.1
ABI3	51225	uc002ioq.1
ABI3BP	25890	uc003duj.2
ABI3BP	25890	uc003duk.2
ABI3BP	25890	uc003dul.2
ABI3BP	25890	uc003dum.2
ABI3BP	25890	uc003dun.2
ABI3BP	25890	uc003duo.2
ABI3BP	25890	uc003dup.3
ABI3BP	25890	uc011bhd.1
ABL1	25	uc004bzv.2
ABL1	25	uc004bzw.2
ABL2	27	uc001gmg.3
ABL2	27	uc001gmh.3
ABL2	27	uc001gmi.3
ABL2	27	uc001gmj.3
ABL2	27	uc001gmk.2
ABL2	27	uc009wxe.2
ABL2	27	uc009wxf.1
ABL2	27	uc010pne.1
ABL2	27	uc010pnf.1
ABL2	27	uc010png.1
ABL2	27	uc010pnh.1
ABLIM1	3983	uc001lbz.1
ABLIM1	3983	uc009xyn.2
ABLIM1	3983	uc009xyo.2
ABLIM1	3983	uc009xyp.2
ABLIM1	3983	uc010qsf.1
ABLIM1	3983	uc010qsg.1
ABLIM1	3983	uc010qsh.1
ABLIM1	3983	uc010qsi.1
ABLIM1	3983	uc010qsj.1
ABLIM1	3983	uc010qsk.1
ABLIM2	84448	uc003gki.2
ABLIM2	84448	uc003gkj.3
ABLIM2	84448	uc003gkk.2
ABLIM2	84448	uc003gkl.2
ABLIM2	84448	uc003gkm.3
ABLIM2	84448	uc003gko.2
ABLIM2	84448	uc003gkp.2
ABLIM2	84448	uc003gkq.2
ABLIM2	84448	uc003gkr.2
ABLIM2	84448	uc003gks.3
ABLIM2	84448	uc011bwl.1
ABLIM3	22885	uc003lpy.2
ABLIM3	22885	uc003lpz.1
ABLIM3	22885	uc003lqa.1
ABLIM3	22885	uc003lqb.2
ABLIM3	22885	uc003lqc.1
ABLIM3	22885	uc003lqd.1
ABLIM3	22885	uc003lqe.1
ABLIM3	22885	uc003lqf.2
ABO	28	uc004cda.1
ABO	28	uc010naf.1
ABO	28	uc010nag.1
ABO	28	uc011mcz.1
ABP1	26	uc003why.1
ABP1	26	uc003whz.1
ABP1	26	uc003wia.1
ABR	29	uc002fsd.2
ABR	29	uc002fse.2
ABR	29	uc002fsf.2
ABR	29	uc002fsg.2
ABR	29	uc002fsh.1
ABR	29	uc010cjq.1
ABR	29	uc010vqf.1
ABR	29	uc010vqg.1
ABRA	137735	uc003ymm.3
ABT1	29777	uc003nii.2
ABTB1	80325	uc003ejr.2
ABTB1	80325	uc003ejs.2
ABTB1	80325	uc003ejt.2
ABTB1	80325	uc003eju.2
ABTB1	80325	uc010hsm.2
ABTB2	25841	uc001mvl.1
ACAA1	30	uc003cht.2
ACAA1	30	uc003chu.2
ACAA1	30	uc003chv.2
ACAA1	30	uc010hgy.2
ACAA1	30	uc010hgz.2
ACAA2	10449	uc002ldw.3
ACAA2	10449	uc002ldx.3
ACACA	31	uc002hnk.2
ACACA	31	uc002hnl.2
ACACA	31	uc002hnm.2
ACACA	31	uc002hnn.2
ACACA	31	uc002hno.2
ACACA	31	uc002hnp.1
ACACA	31	uc002hnq.2
ACACA	31	uc002hnr.1
ACACA	31	uc010cuy.2
ACACA	31	uc010cuz.2
ACACA	31	uc010wdb.1
ACACA	31	uc010wdc.1
ACACB	32	uc001tob.2
ACACB	32	uc001toc.2
ACACB	32	uc001tod.2
ACACB	32	uc010sxl.1
ACACB	32	uc010sxm.1
ACAD10	80724	uc001tso.3
ACAD10	80724	uc001tsp.2
ACAD10	80724	uc001tsq.2
ACAD10	80724	uc001tsr.2
ACAD10	80724	uc001tss.1
ACAD10	80724	uc009zvw.2
ACAD10	80724	uc009zvx.2
ACAD8	27034	uc001qhk.2
ACAD8	27034	uc001qhl.2
ACAD8	27034	uc009zdc.2
ACAD8	27034	uc009zde.1
ACAD8	27034	uc010sco.1
ACAD8	27034	uc010scp.1
ACAD8	27034	uc010scq.1
ACAD8	27034	uc010scr.1
ACAD9	28976	uc003ela.3
ACAD9	28976	uc003elb.2
ACAD9	28976	uc003elc.1
ACAD9	28976	uc003eld.1
ACAD9	28976	uc003ele.2
ACAD9	28976	uc010hsw.1
ACAD9	28976	uc011bks.1
ACADL	33	uc002vdz.3
ACADL	33	uc010zjg.1
ACADM	34	uc001dgw.3
ACADM	34	uc001dgx.3
ACADM	34	uc009wbp.2
ACADM	34	uc009wbr.2
ACADM	34	uc009wbs.1
ACADM	34	uc010orc.1
ACADM	34	uc010ord.1
ACADM	34	uc010ore.1
ACADM	34	uc010orf.1
ACADM	34	uc010org.1
ACADS	35	uc001tza.3
ACADS	35	uc001tzb.3
ACADS	35	uc010szl.1
ACADSB	36	uc001lhb.2
ACADSB	36	uc010qub.1
ACADVL	37	uc002gev.2
ACADVL	37	uc002gew.2
ACADVL	37	uc002gex.2
ACADVL	37	uc010vtp.1
ACADVL	37	uc010vtq.1
ACAN	176	uc002bmx.2
ACAN	176	uc002bna.2
ACAN	176	uc010upo.1
ACAN	176	uc010upp.1
ACAP1	9744	uc002ggd.2
ACAP2	23527	uc003fun.3
ACAP2	23527	uc003fuo.2
ACAP3	116983	uc001ady.2
ACAP3	116983	uc001aea.2
ACAP3	116983	uc001aeb.2
ACAP3	116983	uc001aec.1
ACAT1	38	uc001pjw.1
ACAT1	38	uc001pjx.2
ACAT1	38	uc001pjy.2
ACAT2	39	uc010kjy.2
ACAT2	39	uc011efw.1
ACBD3	64746	uc001hpy.2
ACBD4	79777	uc002iic.2
ACBD4	79777	uc002iid.2
ACBD4	79777	uc002iie.2
ACBD4	79777	uc002iif.2
ACBD4	79777	uc010dae.2
ACBD4	79777	uc010wjj.1
ACBD5	91452	uc001ito.2
ACBD5	91452	uc001itp.2
ACBD5	91452	uc001itq.2
ACBD5	91452	uc001itr.1
ACBD5	91452	uc010qdm.1
ACBD5	91452	uc010qdn.1
ACBD5	91452	uc010qdo.1
ACBD5	91452	uc010qdp.1
ACBD6	84320	uc001gog.2
ACBD7	414149	uc001inv.2
ACBD7	414149	uc010qby.1
ACCN1	40	uc002hht.2
ACCN1	40	uc002hhu.2
ACCN2	41	uc001rvv.2
ACCN2	41	uc001rvw.2
ACCN2	41	uc009zln.2
ACCN2	41	uc009zlo.2
ACCN3	9311	uc003win.2
ACCN3	9311	uc003wio.2
ACCN3	9311	uc003wip.2
ACCN3	9311	uc003wiq.2
ACCN4	55515	uc002vly.1
ACCN4	55515	uc002vlz.2
ACCN4	55515	uc002vma.2
ACCN4	55515	uc002vmb.2
ACCN4	55515	uc010fwi.1
ACCN4	55515	uc010fwj.1
ACCN5	51802	uc003ipe.1
ACCSL	390110	uc001mxw.1
ACCSL	390110	uc009ykr.2
ACD	65057	uc002etp.3
ACD	65057	uc002etq.3
ACD	65057	uc002etr.3
ACD	65057	uc010vjt.1
ACE	1636	uc002jau.1
ACE	1636	uc002jav.1
ACE	1636	uc002jaw.1
ACE	1636	uc010ddu.1
ACE	1636	uc010ddv.1
ACE	1636	uc010wph.1
ACE	1636	uc010wpi.1
ACE	1636	uc010wpj.1
ACE	1636	uc010wpk.1
ACE2	59272	uc004cxa.1
ACE2	59272	uc004cxb.2
ACER1	125981	uc002mel.2
ACER2	340485	uc003znx.1
ACER2	340485	uc003zny.1
ACER2	340485	uc003znz.1
ACER3	55331	uc001oxu.2
ACER3	55331	uc009yul.1
ACER3	55331	uc009yum.1
ACER3	55331	uc009yun.1
ACER3	55331	uc009yuo.1
ACER3	55331	uc010rsg.1
ACER3	55331	uc010rsh.1
ACER3	55331	uc010rsi.1
ACER3	55331	uc010rsj.1
ACHE	43	uc003uxd.2
ACHE	43	uc003uxe.2
ACHE	43	uc003uxf.2
ACHE	43	uc003uxg.2
ACHE	43	uc003uxh.2
ACHE	43	uc003uxi.2
ACHE	43	uc003uxj.1
ACIN1	22985	uc001wio.3
ACIN1	22985	uc001wip.3
ACIN1	22985	uc001wiq.3
ACIN1	22985	uc001wir.3
ACIN1	22985	uc001wis.3
ACIN1	22985	uc001wit.3
ACIN1	22985	uc010akg.2
ACIN1	22985	uc010tnj.1
ACLY	47	uc002hyg.2
ACLY	47	uc002hyh.2
ACLY	47	uc002hyi.2
ACLY	47	uc010wfx.1
ACLY	47	uc010wfy.1
ACMSD	130013	uc002ttz.2
ACMSD	130013	uc002tua.2
ACN9	57001	uc003uoo.3
ACO1	48	uc003zqw.3
ACO1	48	uc003zqx.3
ACO1	48	uc003zqy.3
ACO1	48	uc010mjh.1
ACO2	50	uc003bac.2
ACO2	50	uc003bad.2
ACOT11	26027	uc001cxj.1
ACOT11	26027	uc001cxk.2
ACOT11	26027	uc001cxl.1
ACOT11	26027	uc001cxm.1
ACOT12	134526	uc003khl.3
ACOT12	134526	uc003khm.2
ACOT13	55856	uc003nek.2
ACOT13	55856	uc010jpv.2
ACOT2	10965	uc001xol.1
ACOT1	641371	uc001xol.1
ACOT2	10965	uc001xom.2
ACOT1	641371	uc001xom.2
ACOT2	10965	uc001xon.3
ACOT1	641371	uc001xon.3
ACOT2	10965	uc010tuc.1
ACOT1	641371	uc010tuc.1
ACOT4	122970	uc001xoo.2
ACOT6	641372	uc001xop.2
ACOT7	11332	uc001amq.2
ACOT7	11332	uc001amr.2
ACOT7	11332	uc001ams.2
ACOT7	11332	uc001amt.2
ACOT7	11332	uc001amu.2
ACOT7	11332	uc001amv.2
ACOT7	11332	uc010nzq.1
ACOT8	10005	uc002xqa.1
ACOT8	10005	uc002xqc.1
ACOT8	10005	uc010zxe.1
ACOT8	10005	uc010zxf.1
ACOT9	23597	uc004dan.2
ACOT9	23597	uc004dao.2
ACOT9	23597	uc004dap.2
ACOT9	23597	uc004daq.2
ACOT9	23597	uc004dar.2
ACOT9	23597	uc004das.2
ACOT9	23597	uc004dat.1
ACOT9	23597	uc011mjt.1
ACOX1	51	uc002jqe.2
ACOX1	51	uc002jqf.2
ACOX1	51	uc010wsq.1
ACOX1	51	uc010wsr.1
ACOX2	8309	uc003dkl.2
ACOX3	8310	uc003glc.3
ACOX3	8310	uc003gld.3
ACOX3	8310	uc003gle.1
ACOX3	8310	uc010idk.2
ACOXL	55289	uc002tgr.3
ACOXL	55289	uc010fkc.2
ACOXL	55289	uc010yxk.1
ACP1	52	uc002qwd.2
ACP1	52	uc002qwe.3
ACP1	52	uc002qwf.2
ACP1	52	uc002qwg.2
ACP1	52	uc002qwh.2
ACP2	53	uc001nei.2
ACP2	53	uc009ylj.2
ACP2	53	uc009ylk.2
ACP2	53	uc010rhe.1
ACP2	53	uc010rhf.1
ACP2	53	uc010rhg.1
ACP2	53	uc010rhh.1
ACP2	53	uc010rhi.1
ACP2	53	uc010rhj.1
ACP5	54	uc002msg.3
ACP5	54	uc002msh.3
ACP5	54	uc002msi.3
ACP5	54	uc002msj.3
ACP5	54	uc010dye.1
ACP6	51205	uc001epr.2
ACP6	51205	uc009wjj.1
ACPL2	92370	uc003etu.2
ACPL2	92370	uc003etv.2
ACPL2	92370	uc011bna.1
ACPL2	92370	uc011bnb.1
ACPP	55	uc003eon.3
ACPP	55	uc003eop.3
ACPP	55	uc010htp.2
ACPT	93650	uc002pta.1
ACR	49	uc003bnh.3
ACR	49	uc010hbh.1
ACRBP	84519	uc001qps.2
LPAR5	57121	uc001qps.2
ACRBP	84519	uc001qpt.1
LPAR5	57121	uc001qpt.1
ACRBP	84519	uc001qpu.1
LPAR5	57121	uc001qpu.1
ACRBP	84519	uc009zer.2
LPAR5	57121	uc009zer.2
ACRBP	84519	uc010sff.1
LPAR5	57121	uc010sff.1
ACRBP	84519	uc010sfg.1
LPAR5	57121	uc010sfg.1
ACRC	93953	uc004eae.2
ACRV1	56	uc001qck.2
ACRV1	56	uc001qcl.2
ACRV1	56	uc001qcm.2
ACRV1	56	uc001qcn.2
ACRV1	56	uc001qco.2
ACRV1	56	uc001qcp.2
ACRV1	56	uc001qcq.2
ACRV1	56	uc001qcr.2
