Cancer	Domain	MutRatio	SwitchRatio	MutIn	AllMuts	SwitchesIn	AllSwitches	DomainCount	AllDomains
brca	PF06441|Epoxide_hydrolase_N_terminus	4.12235138923e-05	0.0	1	24258.0	0	61136	1.0	42611.0
brca	PF08429|PLU-1-like_protein	0.000206117569462	0.0	5	24258.0	0	61136	3.0	42611.0
brca	PF02845|CUE_domain	8.24470277846e-05	0.0	2	24258.0	0	61136	8.0	42611.0
brca	PF15049|Protein_of_unknown_function_(DUF4534)	4.12235138923e-05	0.0	1	24258.0	0	61136	1.0	42611.0
brca	PF04566|RNA_polymerase_Rpb2,_domain_4	4.12235138923e-05	0.0	1	24258.0	0	61136	2.0	42611.0
brca	PF01273|LBP_/_BPI_/_CETP_family,_N-terminal_domain	0.0	0.0	0	24258.0	0	61136	1.0	42611.0
brca	PF15453|Protein_incorporated_later_into_Tight_Junctions	4.12235138923e-05	0.0	1	24258.0	0	61136	1.0	42611.0
brca	PF15412|Binding_domain_of_Nse4/EID3_to_Nse3-MAGE	0.0	0.0	0	24258.0	0	61136	1.0	42611.0
brca	PF07064|RIC1	0.000206117569462	0.0	5	24258.0	0	61136	1.0	42611.0
brca	PF10273|Pre-rRNA-processing_protein_TSR2	8.24470277846e-05	0.0	2	24258.0	0	61136	1.0	42611.0
brca	PF15024|Glycosyltransferase_family_18	0.000164894055569	0.0	4	24258.0	0	61136	1.0	42611.0
brca	PF13415|Galactose_oxidase,_central_domain	4.12235138923e-05	0.000899633603769	1	24258.0	55	61136	10.0	42611.0
brca	PF06456|Arfaptin-like_domain	0.000247341083354	0.0	6	24258.0	0	61136	5.0	42611.0
brca	PF07946|Protein_of_unknown_function_(DUF1682)	0.000123670541677	0.0	3	24258.0	0	61136	1.0	42611.0
brca	PF07065|D123	0.000123670541677	0.0	3	24258.0	0	61136	1.0	42611.0
brca	PS51689|SAM_RNA_A_N6_MT_rRNA_adenine_N(6)-methyltransferase_family_profile.	0.000164894055569	0.0	4	24258.0	0	61136	3.0	42611.0
brca	PF00411|Ribosomal_protein_S11	4.12235138923e-05	0.0	1	24258.0	0	61136	2.0	42611.0
brca	PS50803|OAR_OAR_domain_profile.	0.0	0.00101413242607	0	24258.0	62	61136	3.0	42611.0
brca	PF07998|Peptidase_family_M54	0.0	0.0	0	24258.0	0	61136	1.0	42611.0
brca	PF05644|Mitochondrial_and_peroxisomal_fission_factor_Mff	8.24470277846e-05	0.0	2	24258.0	0	61136	1.0	42611.0
brca	PF15259|G-2_and_S-phase_expressed_1	0.0	0.0	0	24258.0	0	61136	1.0	42611.0
brca	PS51203|CS_CS_domain_profile.	0.000247341083354	0.0	6	24258.0	0	61136	13.0	42611.0
brca	PF02026|RyR_domain	0.000247341083354	0.0	6	24258.0	0	61136	8.0	42611.0
brca	PF00515|Tetratricopeptide_repeat	0.000164894055569	0.00634650615022	4	24258.0	388	61136	52.0	42611.0
brca	PF07810|TMC_domain	0.000164894055569	0.0	4	24258.0	0	61136	6.0	42611.0
brca	PF01280|Ribosomal_protein_L19e	8.24470277846e-05	0.0	2	24258.0	0	61136	1.0	42611.0
brca	PF01053|Cys/Met_metabolism_PLP-dependent_enzyme	0.000123670541677	0.0	3	24258.0	0	61136	1.0	42611.0
brca	PF00733|Asparagine_synthase	0.0	0.0	0	24258.0	0	61136	1.0	42611.0
brca	PF08266|Cadherin-like	0.00144282298623	0.000196283695368	35	24258.0	12	61136	39.0	42611.0
brca	PF08752|Coatomer_gamma_subunit_appendage_platform_subdomain	8.24470277846e-05	0.0	2	24258.0	0	61136	1.0	42611.0
brca	PS50088|ANK_REPEAT_Ankyrin_repeat_profile.	0.00259708137522	0.0152610573148	63	24258.0	933	61136	360.0	42611.0
brca	PF01974|tRNA_intron_endonuclease,_catalytic_C-terminal_domain	0.0	0.0	0	24258.0	0	61136	2.0	42611.0
brca	PS51550|EPH_LBD_Eph_receptor_ligand-binding_domain_profile.	0.000329788111139	0.0	8	24258.0	0	61136	8.0	42611.0
brca	PF05914|RIB43A	0.000164894055569	0.0	4	24258.0	0	61136	2.0	42611.0
brca	PF09812|Mitochondrial_ribosomal_protein_L28	4.12235138923e-05	0.0	1	24258.0	0	61136	1.0	42611.0
brca	PF01477|PLAT/LH2_domain	0.000288564597246	0.000179926720754	7	24258.0	11	61136	8.0	42611.0
brca	PF00054|Laminin_G_domain	0.000494682166708	0.0017501962837	12	24258.0	107	61136	14.0	42611.0
brca	PF00567|Tudor_domain	0.000412235138923	0.000948704527611	10	24258.0	58	61136	17.0	42611.0
brca	PF02820|mbt_repeat	0.000824470277846	0.00124313007066	20	24258.0	76	61136	28.0	42611.0
brca	PF03700|Sorting_nexin,_N-terminal_domain	0.0	0.0	0	24258.0	0	61136	2.0	42611.0
brca	PF00307|Calponin_homology_(CH)_domain	0.0016077170418	0.00143941376603	39	24258.0	88	61136	67.0	42611.0
brca	PF13854|Kelch_motif	4.12235138923e-05	0.0	1	24258.0	0	61136	5.0	42611.0
brca	PF00028|Cadherin_domain	0.0112952428065	0.000392567390735	274	24258.0	24	61136	307.0	42611.0
brca	PF15305|Intraflagellar_transport_protein_43	0.0	0.000179926720754	0	24258.0	11	61136	1.0	42611.0
brca	PF01636|Phosphotransferase_enzyme_family	4.12235138923e-05	0.0	1	24258.0	0	61136	3.0	42611.0
brca	PF03619|Organic_solute_transporter_Ostalpha	8.24470277846e-05	0.0	2	24258.0	0	61136	3.0	42611.0
brca	PF04680|Opioid_growth_factor_receptor_repeat	0.000123670541677	0.0	3	24258.0	0	61136	7.0	42611.0
brca	PF03630|Fumble	0.000247341083354	0.0	6	24258.0	0	61136	3.0	42611.0
brca	PF15489|CST,_telomere_maintenance,_complex_subunit_CTC1	0.000247341083354	0.0	6	24258.0	0	61136	1.0	42611.0
brca	PF08373|RAP_domain	4.12235138923e-05	0.0	1	24258.0	0	61136	5.0	42611.0
brca	PF13844|Glycosyl_transferase_family_41	4.12235138923e-05	0.0	1	24258.0	0	61136	1.0	42611.0
brca	PF00373|FERM_central_domain	0.00131915244455	0.00196283695368	32	24258.0	120	61136	33.0	42611.0
brca	PF06327|Domain_of_Unknown_Function_(DUF1053)	8.24470277846e-05	0.0	2	24258.0	0	61136	4.0	42611.0
brca	PF01422|NF-X1_type_zinc_finger	4.12235138923e-05	0.0	1	24258.0	0	61136	6.0	42611.0
brca	PF12287|Cytoplasmic_activation/proliferation-associated_protein-1_C_term	8.24470277846e-05	0.0	2	24258.0	0	61136	2.0	42611.0
brca	PS51068|FPG_CAT_Formamidopyrimidine-DNA_glycosylase_catalytic_domain_profile.	8.24470277846e-05	9.81418476839e-05	2	24258.0	6	61136	2.0	42611.0
brca	PF05030|SSXT_protein_(N-terminal_region)	4.12235138923e-05	0.0	1	24258.0	0	61136	2.0	42611.0
brca	PF04615|Utp14_protein	0.000288564597246	0.0	7	24258.0	0	61136	2.0	42611.0
brca	PF00728|Glycosyl_hydrolase_family_20,_catalytic_domain	0.000247341083354	0.0	6	24258.0	0	61136	3.0	42611.0
brca	PF00579|tRNA_synthetases_class_I_(W_and_Y)	4.12235138923e-05	0.0	1	24258.0	0	61136	3.0	42611.0
brca	PF10512|Cell_division_cycle-associated_protein_8	8.24470277846e-05	0.0	2	24258.0	0	61136	1.0	42611.0
brca	PS50189|NTR_NTR_domain_profile.	8.24470277846e-05	0.0	2	24258.0	0	61136	6.0	42611.0
brca	PF12497|Estrogen_receptor_beta	0.0	0.0	0	24258.0	0	61136	1.0	42611.0
brca	PS50935|SSB_Single-strand_binding_(SSB)_domain_profile.	4.12235138923e-05	0.0	1	24258.0	0	61136	1.0	42611.0
brca	PF14596|STAT6_C-terminal	0.0	0.0	0	24258.0	0	61136	1.0	42611.0
brca	PF04587|ADP-specific_Phosphofructokinase/Glucokinase_conserved_region	0.000123670541677	0.0	3	24258.0	0	61136	1.0	42611.0
brca	PF02029|Caldesmon	0.000247341083354	0.0	6	24258.0	0	61136	2.0	42611.0
brca	PF02137|Adenosine-deaminase_(editase)_domain	0.000247341083354	0.0	6	24258.0	0	61136	3.0	42611.0
brca	PF00752|XPG_N-terminal_domain	0.000164894055569	0.0	4	24258.0	0	61136	4.0	42611.0
brca	PF14671|Dual_specificity_protein_phosphatase,_N-terminal_half	0.0	0.0	0	24258.0	0	61136	2.0	42611.0
brca	PF06888|Putative_Phosphatase	4.12235138923e-05	0.0	1	24258.0	0	61136	1.0	42611.0
brca	PF01096|Transcription_factor_S-II_(TFIIS)	4.12235138923e-05	0.0	1	24258.0	0	61136	5.0	42611.0
brca	PF14764|AP-5_complex_subunit,_vesicle_trafficking	4.12235138923e-05	0.0	1	24258.0	0	61136	1.0	42611.0
brca	PF01275|Myelin_proteolipid_protein_(PLP_or_lipophilin)	0.000123670541677	0.0	3	24258.0	0	61136	3.0	42611.0
brca	PF09445|RNA_cap_guanine-N2_methyltransferase	8.24470277846e-05	0.0	2	24258.0	0	61136	1.0	42611.0
brca	PS51679|SAM_MT_C5_C-5_cytosine-specific_DNA_methylase_(Dnmt)_domain_profile.	0.000123670541677	0.0	3	24258.0	0	61136	1.0	42611.0
brca	PF12775|P-loop_containing_dynein_motor_region_D3	0.000164894055569	0.00155391258833	4	24258.0	95	61136	3.0	42611.0
brca	PS50905|FERRITIN_LIKE_Ferritin-like_diiron_domain_profile.	4.12235138923e-05	0.0	1	24258.0	0	61136	1.0	42611.0
brca	PF13899|Thioredoxin-like	4.12235138923e-05	0.0	1	24258.0	0	61136	1.0	42611.0
brca	PF00766|Electron_transfer_flavoprotein_FAD-binding_domain	0.0	0.0	0	24258.0	0	61136	1.0	42611.0
brca	PF02990|Endomembrane_protein_70	0.000412235138923	0.0	10	24258.0	0	61136	4.0	42611.0
brca	PF08767|CRM1_C_terminal	0.000206117569462	0.0	5	24258.0	0	61136	2.0	42611.0
brca	PF05499|DNA_methyltransferase_1-associated_protein_1_(DMAP1)	4.12235138923e-05	0.0	1	24258.0	0	61136	1.0	42611.0
brca	PF15236|Coiled-coil_domain-containing_protein_66	0.0	0.0	0	24258.0	0	61136	2.0	42611.0
brca	PS50102|RRM_Eukaryotic_RNA_Recognition_Motif_(RRM)_profile.	0.00507049220876	0.00395838785658	123	24258.0	242	61136	236.0	42611.0
brca	PF05916|GINS_complex_protein	0.0	0.0	0	24258.0	0	61136	2.0	42611.0
brca	PF01134|Glucose_inhibited_division_protein_A	8.24470277846e-05	0.0	2	24258.0	0	61136	1.0	42611.0
brca	PF07562|Nine_Cysteines_Domain_of_family_3_GPCR	4.12235138923e-05	0.0	1	24258.0	0	61136	2.0	42611.0
brca	PS50018|RAS_GTPASE_ACTIV_2_Ras_GTPase-activating_proteins_profile.	8.24470277846e-05	0.0	2	24258.0	0	61136	8.0	42611.0
brca	PF13385|Concanavalin_A-like_lectin/glucanases_superfamily	0.000164894055569	0.0	4	24258.0	0	61136	7.0	42611.0
brca	PF06427|UDP-glucose:Glycoprotein_Glucosyltransferase	8.24470277846e-05	0.0	2	24258.0	0	61136	2.0	42611.0
brca	PF12047|Cytosine_specific_DNA_methyltransferase_replication_foci_domain	4.12235138923e-05	0.0	1	24258.0	0	61136	1.0	42611.0
brca	PF01093|Clusterin	0.000123670541677	0.0	3	24258.0	0	61136	1.0	42611.0
brca	PS50199|ZF_RANBP2_2_Zinc_finger_RanBP2_type_profile.	0.000123670541677	0.0	3	24258.0	0	61136	16.0	42611.0
brca	PF02525|Flavodoxin-like_fold	8.24470277846e-05	0.0	2	24258.0	0	61136	2.0	42611.0
brca	PS50127|UBIQUITIN_CONJUGAT_2_Ubiquitin-conjugating_enzymes_family_profile.	0.000659576222277	0.0	16	24258.0	0	61136	21.0	42611.0
brca	PF03097|BRO1-like_domain	0.000206117569462	0.0	5	24258.0	0	61136	4.0	42611.0
brca	PF07773|Protein_of_unknown_function_(DUF1619)	0.000164894055569	0.0	4	24258.0	0	61136	3.0	42611.0
brca	PF14868|Domain_of_unknown_function_(DUF4487)	8.24470277846e-05	0.0	2	24258.0	0	61136	1.0	42611.0
brca	PF01457|Leishmanolysin	0.0	0.0	0	24258.0	0	61136	1.0	42611.0
brca	PF00177|Ribosomal_protein_S7p/S5e	0.000247341083354	0.0	6	24258.0	0	61136	2.0	42611.0
brca	PF06461|Domain_of_Unknown_Function_(DUF1086)	0.000164894055569	0.0	4	24258.0	0	61136	2.0	42611.0
brca	PF15477|Small_acidic_protein_family	4.12235138923e-05	0.0	1	24258.0	0	61136	2.0	42611.0
brca	PF03666|Nitrogen_Permease_regulator_of_amino_acid_transport_activity_3	4.12235138923e-05	0.0	1	24258.0	0	61136	2.0	42611.0
brca	PF00478|IMP_dehydrogenase_/_GMP_reductase_domain	0.000206117569462	0.0	5	24258.0	0	61136	3.0	42611.0
brca	PF01253|Translation_initiation_factor_SUI1	4.12235138923e-05	0.0	1	24258.0	0	61136	3.0	42611.0
brca	PF08443|RimK-like_ATP-grasp_domain	4.12235138923e-05	0.0	1	24258.0	0	61136	1.0	42611.0
brca	PF02671|Paired_amphipathic_helix_repeat	0.000164894055569	0.000212640669982	4	24258.0	13	61136	7.0	42611.0
brca	PF01088|Ubiquitin_carboxyl-terminal_hydrolase,_family_1	0.000329788111139	0.0	8	24258.0	0	61136	4.0	42611.0
brca	PF01246|Ribosomal_protein_L24e	0.0	0.0	0	24258.0	0	61136	1.0	42611.0
brca	PS50145|ZF_TRAF_Zinc_finger_TRAF-type_profile.	0.000247341083354	0.000441638314577	6	24258.0	27	61136	12.0	42611.0
brca	PF12424|Plasma_membrane_calcium_transporter_ATPase_C_terminal	4.12235138923e-05	0.0	1	24258.0	0	61136	2.0	42611.0
brca	PF08539|HbrB-like	0.0	0.0	0	24258.0	0	61136	2.0	42611.0
brca	PS50245|CAP_GLY_2_CAP-Gly_domain_profile.	4.12235138923e-05	0.0	1	24258.0	0	61136	11.0	42611.0
brca	PF04739|5'-AMP-activated_protein_kinase_beta_subunit,_interation_domain	4.12235138923e-05	0.0	1	24258.0	0	61136	2.0	42611.0
brca	PF09772|Transmembrane_protein_26	8.24470277846e-05	0.0	2	24258.0	0	61136	1.0	42611.0
brca	PF09180|Prolyl-tRNA_synthetase,_C-terminal	0.0	0.0	0	24258.0	0	61136	1.0	42611.0
brca	PF01866|Putative_diphthamide_synthesis_protein	0.000123670541677	0.0	3	24258.0	0	61136	2.0	42611.0
brca	PF09333|ATG_C_terminal_domain	4.12235138923e-05	0.000196283695368	1	24258.0	12	61136	4.0	42611.0
brca	PF08164|Apoptosis-antagonizing_transcription_factor,_C-terminal	0.0	0.0	0	24258.0	0	61136	1.0	42611.0
brca	PF08367|Peptidase_M16C_associated	0.000123670541677	0.0	3	24258.0	0	61136	1.0	42611.0
brca	PS51634|CRC_CRC_domain_profile.	0.0	0.0	0	24258.0	0	61136	1.0	42611.0
brca	PF13246|Putative_hydrolase_of_sodium-potassium_ATPase_alpha_subunit	0.0	0.0	0	24258.0	0	61136	1.0	42611.0
brca	PF00098|Zinc_knuckle	4.12235138923e-05	0.0	1	24258.0	0	61136	22.0	42611.0
brca	PF02262|CBL_proto-oncogene_N-terminal_domain_1	8.24470277846e-05	0.0	2	24258.0	0	61136	1.0	42611.0
brca	PS51498|MABP_MABP_domain_profile.	0.0	0.0	0	24258.0	0	61136	3.0	42611.0
brca	PS50834|HIN_200_HIN-200_A_and_B_domains_profile.	0.000164894055569	0.0	4	24258.0	0	61136	2.0	42611.0
brca	PF00817|impB/mucB/samB_family	0.000123670541677	0.0	3	24258.0	0	61136	4.0	42611.0
brca	PF14369|zinc-finger	0.0	0.0	0	24258.0	0	61136	2.0	42611.0
brca	PF00433|Protein_kinase_C_terminal_domain	0.000329788111139	0.0	8	24258.0	0	61136	29.0	42611.0
brca	PS50915|CRYSTALLIN_BETA_GAMMA_Crystallins_beta_and_gamma_'Greek_key'_motif_profile.	0.000164894055569	0.0	4	24258.0	0	61136	12.0	42611.0
brca	PF01030|Receptor_L_domain	0.000618352708385	0.0	15	24258.0	0	61136	12.0	42611.0
brca	PF01902|ATP-binding_region	4.12235138923e-05	0.0	1	24258.0	0	61136	1.0	42611.0
brca	PF00535|Glycosyl_transferase_family_2	0.000824470277846	0.0	20	24258.0	0	61136	17.0	42611.0
brca	PF11934|Domain_of_unknown_function_(DUF3452)	0.000123670541677	0.0	3	24258.0	0	61136	3.0	42611.0
brca	PS51059|PARP_CATALYTIC_PARP_catalytic_domain_profile.	0.000577129194493	0.0	14	24258.0	0	61136	9.0	42611.0
brca	PF04774|Hyaluronan_/_mRNA_binding_family	4.12235138923e-05	0.0	1	24258.0	0	61136	2.0	42611.0
brca	PF06008|Laminin_Domain_I	0.000164894055569	0.000474352263805	4	24258.0	29	61136	3.0	42611.0
brca	PF13910|Domain_of_unknown_function_(DUF4209)	4.12235138923e-05	0.0	1	24258.0	0	61136	1.0	42611.0
brca	PS50053|UBIQUITIN_2_Ubiquitin_domain_profile.	0.00070079973617	0.000719706883015	17	24258.0	44	61136	42.0	42611.0
brca	PF14429|C2_domain_in_Dock180_and_Zizimin_proteins	0.000412235138923	0.00184833813138	10	24258.0	113	61136	8.0	42611.0
brca	PF14975|Domain_of_unknown_function_(DUF4512)	0.0	0.000130855796912	0	24258.0	8	61136	1.0	42611.0
brca	PF04505|Interferon-induced_transmembrane_protein	0.0	0.0	0	24258.0	0	61136	2.0	42611.0
brca	PF00318|Ribosomal_protein_S2	8.24470277846e-05	0.0	2	24258.0	0	61136	3.0	42611.0
brca	PF04815|Sec23/Sec24_helical_domain	0.000164894055569	0.0	4	24258.0	0	61136	6.0	42611.0
brca	PS50003|PH_DOMAIN_PH_domain_profile.	0.00342155165306	0.00547958649568	83	24258.0	335	61136	143.0	42611.0
brca	PF15317|Cardiac_transcription_factor_regulator,_Developmental_protein	4.12235138923e-05	0.0	1	24258.0	0	61136	1.0	42611.0
brca	PF01839|FG-GAP_repeat	4.12235138923e-05	0.0	1	24258.0	0	61136	13.0	42611.0
brca	PF04791|LMBR1-like_membrane_protein	0.000206117569462	0.0	5	24258.0	0	61136	3.0	42611.0
brca	PF14593|PH_domain	0.0	9.81418476839e-05	0	24258.0	6	61136	1.0	42611.0
brca	PF00566|Rab-GTPase-TBC_domain	0.00164894055569	0.00209369275059	40	24258.0	128	61136	34.0	42611.0
brca	PF04732|Intermediate_filament_head_(DNA_binding)_region	0.0	0.0	0	24258.0	0	61136	1.0	42611.0
brca	PF04614|Pex19_protein_family	8.24470277846e-05	0.0	2	24258.0	0	61136	1.0	42611.0
brca	PF11571|Mediator_complex_subunit_27	8.24470277846e-05	0.0	2	24258.0	0	61136	1.0	42611.0
brca	PS50015|SAP_B_Saposin_B_type_domain_profile.	0.000164894055569	0.000179926720754	4	24258.0	11	61136	8.0	42611.0
brca	PF03205|Molybdopterin_guanine_dinucleotide_synthesis_protein_B	0.0	0.0	0	24258.0	0	61136	2.0	42611.0
brca	PS50141|A_DEAMIN_EDITASE_Adenosine_to_inosine_editase_domain_profile.	8.24470277846e-05	0.0	2	24258.0	0	61136	2.0	42611.0
brca	PS50313|GLU_RICH_Glutamic_acid-rich_region_profile.	0.00890427900074	0.0045635959173	216	24258.0	279	61136	233.0	42611.0
brca	PF00865|Osteopontin	8.24470277846e-05	0.0	2	24258.0	0	61136	1.0	42611.0
brca	PF00156|Phosphoribosyl_transferase_domain	4.12235138923e-05	0.000114498822298	1	24258.0	7	61136	4.0	42611.0
brca	PF00989|PAS_fold	0.000164894055569	0.0	4	24258.0	0	61136	14.0	42611.0
brca	PF02372|Interleukin_15	0.000123670541677	0.0	3	24258.0	0	61136	1.0	42611.0
brca	PF02207|Putative_zinc_finger_in_N-recognin_(UBR_box)	0.0	0.0	0	24258.0	0	61136	4.0	42611.0
brca	PF03770|Inositol_polyphosphate_kinase	0.000164894055569	9.81418476839e-05	4	24258.0	6	61136	3.0	42611.0
brca	PF01421|Reprolysin_(M12B)_family_zinc_metalloprotease	0.000659576222277	0.0	16	24258.0	0	61136	19.0	42611.0
brca	PF10217|Uncharacterized_conserved_protein_(DUF2039)	4.12235138923e-05	0.0	1	24258.0	0	61136	1.0	42611.0
brca	PF15156|Ceroid-lipofuscinosis_neuronal_protein_6	4.12235138923e-05	0.0	1	24258.0	0	61136	1.0	42611.0
